Date,價差,AVG-2XSIGMA,AVG-1XSIGMA,AVERAGE,AVG+1XSIGMA,AVG+2XSIGMA
2010-01-31,1.1018766798981825,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-02-28,1.5993973337250726,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-03-31,1.5588329499587688,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-04-30,1.4106376462989574,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-05-31,2.36132129249403,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-06-30,2.993693693693694,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-07-31,3.3510545162684453,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-08-31,3.763223211438942,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-09-30,3.7541779552260093,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-10-31,3.7493081761006284,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-11-30,3.53916005638549,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2010-12-31,2.940215943231336,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-01-31,5.054155000745515,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-02-28,2.474711154172219,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-03-31,2.82308726015531,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-04-30,2.7106884164094414,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-05-31,3.033096940668954,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-06-30,3.5152374367858066,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-07-31,3.407131555978136,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-08-31,4.950705160112826,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
2011-09-30,5.429615974375574,-0.7326426137935074,0.7039803169515662,2.1406032476966397,3.5772261784417134,5.013849109186786
