Date,最新價,"移動平均(簡單,200,0)"
2010-01-31,1073.8699951171875,1013.0755996704102
2010-02-28,1104.489990234375,1033.0433489990235
2010-03-31,1169.4300537109375,1059.912297668457
2010-04-30,1186.68994140625,1090.5429473876952
2010-05-31,1089.4100341796875,1104.8818981933593
2010-06-30,1030.7099609375,1112.1225970458984
2010-07-31,1101.5999755859375,1114.3900985717773
2010-08-31,1049.3299560546875,1115.8061972045898
2010-09-30,1141.199951171875,1117.840647277832
2010-10-31,1183.260009765625,1122.5521475219728
2010-11-30,1180.550048828125,1133.7318466186523
2010-12-31,1257.6400146484375,1146.2396975708007
2011-01-31,1286.1199951171875,1156.2899978637695
2011-02-28,1327.219970703125,1169.583396911621
2011-03-31,1325.8299560546875,1194.2057467651366
2011-04-30,1363.6099853515625,1219.9397479248046
2011-05-31,1345.199951171875,1244.733196411133
2011-06-30,1320.6400146484375,1267.1077972412108
2011-07-31,1292.280029296875,1284.8427478027343
2011-08-31,1218.8900146484375,1283.8951483154297
2011-09-30,1131.4200439453125,1280.1218505859374
2011-10-31,1253.300048828125,1274.0466003417969
2011-11-30,1246.9599609375,1265.8869512939452
2011-12-31,1257.5999755859375,1258.8213012695312
2012-01-31,1312.4100341796875,1257.1853021240233
2012-02-29,1365.6800537109375,1258.23490234375
2012-03-31,1408.469970703125,1267.0736529541016
2012-04-30,1397.9100341796875,1275.064351196289
2012-05-31,1310.3299560546875,1284.1060998535156
2012-06-30,1362.1600341796875,1299.578150024414
2012-07-31,1379.3199462890625,1319.6834503173827
2012-08-31,1406.5799560546875,1338.0179998779297
2012-09-30,1440.6700439453125,1359.0327001953126
2012-10-31,1412.1600341796875,1377.7249493408203
2012-11-30,1416.1800537109375,1384.7426989746093
2012-12-31,1426.18994140625,1390.3754486083985
2013-01-31,1498.1099853515625,1399.027299194336
2013-02-28,1514.6800537109375,1411.464600830078
2013-03-31,1569.18994140625,1435.0933489990234
2013-04-30,1597.5699462890625,1460.4063983154297
2013-05-31,1630.739990234375,1489.8095471191407
2013-06-30,1606.280029296875,1510.441649169922
2013-07-31,1685.72998046875,1534.441196899414
2013-08-31,1632.969970703125,1562.1786981201171
2013-09-30,1681.550048828125,1590.778348388672
2013-10-31,1756.5400390625,1622.375499267578
2013-11-30,1805.81005859375,1650.2399993896483
2013-12-31,1848.3599853515625,1679.2789001464844
2014-01-31,1782.5899658203125,1706.4404510498048
2014-02-28,1859.449951171875,1727.104501953125
2014-03-31,1872.3399658203125,1750.1461511230468
2014-04-30,1883.949951171875,1775.0416015625
2014-05-31,1923.5699462890625,1795.7876513671874
2014-06-30,1960.22998046875,1826.2872509765625
2014-07-31,1930.6700439453125,1857.008148803711
2014-08-31,2003.3699951171875,1878.8235980224608
2014-09-30,1972.2900390625,1899.6216473388672
2014-10-31,2018.050048828125,1912.3385485839844
2014-11-30,2067.56005859375,1935.7778491210938
2014-12-31,2058.89990234375,1957.6677984619141
2015-01-31,1994.989990234375,1974.6069494628907
2015-02-28,2104.5,1994.058899536133
2015-03-31,2067.889892578125,2012.2543481445311
2015-04-30,2085.510009765625,2026.015797729492
2015-05-31,2107.389892578125,2041.7380505371093
2015-06-30,2063.110107421875,2053.8954028320313
2015-07-31,2103.840087890625,2068.268451538086
2015-08-31,1972.1800537109375,2075.082952270508
2015-09-30,1920.030029296875,2063.5471520996093
2015-10-31,2079.360107421875,2061.587601928711
2015-11-30,2080.409912109375,2065.180200805664
2015-12-31,2043.93994140625,2061.1481536865235
2016-01-31,1940.239990234375,2045.5185540771483
2016-02-29,1932.22998046875,2025.770903930664
2016-03-31,2059.739990234375,2016.108101196289
2016-04-30,2065.300048828125,2014.5242987060547
2016-05-31,2096.949951171875,2010.9754998779297
2016-06-30,2098.860107421875,2022.6128497314453
2016-07-31,2173.60009765625,2041.3583978271483
2016-08-31,2170.949951171875,2054.3787475585937
2016-09-30,2168.27001953125,2063.7641986083986
2016-10-31,2126.14990234375,2078.8432952880858
2016-11-30,2198.81005859375,2107.9766943359373
2016-12-31,2238.830078125,2136.3338946533204
2017-01-31,2278.8701171875,2158.199143066406
2017-02-28,2363.639892578125,2182.1821948242186
2017-03-31,2362.719970703125,2214.951593017578
2017-04-30,2384.199951171875,2240.463193359375
2017-05-31,2411.800048828125,2265.1311389160155
2017-06-30,2423.409912109375,2293.9706896972657
2017-07-31,2470.300048828125,2323.917990722656
2017-08-31,2471.64990234375,2360.9240954589845
2017-09-30,2519.360107421875,2389.0759509277345
2017-10-31,2575.260009765625,2421.3249523925783
2017-11-30,2647.580078125,2452.7593029785157
