rebalance_rule,frequency,years,trading_cost_bps,rf_annual,total_return,CAGR,annualized_vol,Sharpe,Sortino,max_drawdown,Calmar,hit_ratio
M,M,13.833333333333334,0.0,0.0,2.189930923058128,0.08747159963610263,0.09922313047181952,0.8974729851875005,1.5751638106165575,-0.20232692008266673,0.43232803425448024,0.6867469879518072
A,M,13.833333333333334,0.0,0.0,1.9776497074927017,0.0820714121175572,0.09859257592157537,0.8518118025233947,1.4818741795069696,-0.20433809183942775,0.4016451919402784,0.6566265060240963
Q,M,13.833333333333334,0.0,0.0,2.167123955459064,0.08690767392448162,0.09906144206618629,0.8935415675283113,1.5720332231112932,-0.2139782829269411,0.40615184277441196,0.6686746987951807
2Q-DEC,M,13.833333333333334,0.0,0.0,2.0683990296689374,0.08442231553409663,0.09921372405221635,0.8690873596783554,1.5255405288528696,-0.20930053923194158,0.4033545056496101,0.6686746987951807
MODEL,,,,,,,,,,,,
