,SPX_Index,SXXP_Index,NKY_Index,MXMS_Index,SHCOMP_Index,TWSE_Index,投資級債,非投資級債,新興市場債,科技
2012-01-31,0.043574717122160544,0.040361495051934204,0.041058028348915254,0.10528678567656069,0.04237168304146066,0.06292349634053918,0.016737375833605923,0.037235808376763505,0.02342587003710723,0.07581782255507034
2012-02-29,0.04058944994323421,0.038952871349396734,0.10459857472470913,0.0561462190897144,0.05926738520725294,0.08039823974202753,-0.0006801488356772175,0.03394288828517402,0.027309155151975687,0.072061858007755
2012-03-31,0.03133237654501775,-0.0037832929782082303,0.03705760631229915,-0.03219092862798334,-0.06823096026455977,-0.02320278177269053,-0.007200735739321962,0.0007393751012573548,0.0035018038076547724,0.05029717210600895
2012-04-30,-0.007497497284287169,-0.02293787027191263,-0.05580072910757705,-0.0021971857323173083,0.05900992094269486,-0.054365309466784306,0.01180035078585037,0.008126556557627231,0.01363867933009745,-0.01923193104698232
2012-05-31,-0.06265067135938662,-0.06821361940298498,-0.10273829442415572,-0.09838830584707647,-0.01004959279160178,-0.026689879121054916,-0.010265945522908894,-0.0316537787392736,-0.02675618772656283,-0.07847726992731299
2012-06-30,0.039554921279372435,0.04772035206273717,0.054321042570700584,0.01946061109956343,-0.06188386137286617,-0.0007149215914538098,0.0047798759421849,0.02771420460078903,0.027543766527847464,0.029456327985739685
2012-07-31,0.012597639043871345,0.0406497591272843,-0.03460948307830336,0.015521064301551979,-0.05472917380947773,-0.0035346779454735744,0.011568172439173366,0.017984635523351184,0.03824501859006974,0.009501753170858497
2012-08-31,0.019763361656468303,0.018555360012242783,0.016658884470032387,-0.009210460272047305,-0.026674304240041802,0.01740873036067736,0.008634909393630999,0.021206452554125968,0.012245733983558021,0.04796209343710458
2012-09-30,0.024236090375236552,0.00845133906772344,0.003421980540525782,0.07079713265280274,0.018875010866794106,0.0430035716892927,0.012191439057180333,0.02156873789613805,0.01589798323335551,0.011784442898645706
2012-10-31,-0.01978940354140779,0.006778903456495788,0.0065534330835070875,-0.0044708331362066644,-0.0082874397999394,-0.07117285966849674,-0.001404448488071483,0.012481025343806174,0.012270627932172542,-0.06812391313139482
2012-11-30,0.0028467029231815655,0.020273769885312376,0.05798646773346294,0.0275632648211952,-0.04290389002745454,0.057789158602019164,-0.00010501126144191779,0.012384121976134293,0.010334546730031457,0.007681458175111128
2012-12-31,0.007068310525498056,0.014141707157879546,0.10048369629081488,0.034570470574632806,0.14595652681129456,0.015742391001784872,-0.003293550348027949,0.020420603537126693,0.009955534064739029,-0.0012274166110381214
2013-01-31,0.050428063581991145,0.026959382151029887,0.07152160905342675,0.00981224854716145,0.05125052443053013,0.01954932138450549,-0.009095669342031874,0.014694730327332714,-0.006587594934893504,0.013431934802294033
2013-02-28,0.011060603026480154,0.0094700926119351,0.037769354662051,-0.0015936607715975049,-0.008312575301141711,0.006109538574423867,-0.009474996404915649,-0.003681256524985132,-0.0024502917807230446,0.0038506541857249274
2013-03-31,0.035987799403174314,0.01324411947299442,0.0725429435539684,-0.024098255259715762,-0.05451994489330991,0.0026120602989625485,-0.0025395383047209603,0.0028400553283379026,-0.005658252796815335,0.02432925020133082
2013-04-30,0.01808576399288797,0.010007488596909475,0.11799972737340414,0.013766469786460789,-0.02624897110417912,0.02210615246867831,0.01390975243371888,0.024987993220634892,0.020079248495072394,0.008337816030123783
2013-05-31,0.020762783477406455,0.014019951469398606,-0.006227607810770697,-0.011428315331869277,0.05633055881045701,0.019909410575685182,-0.02973013991111889,-0.010161228176496997,-0.026537429369540202,0.04232923651435254
2013-06-30,-0.01499932545960736,-0.05271204466897106,-0.00705794894058176,-0.0648290869525796,-0.1396982085069297,-0.023330668217279582,-0.011836922132865295,-0.028593378649322754,-0.04468284877795352,-0.03694881889763776
2013-07-31,0.0494621112134872,0.051084134446705454,-0.0006580236479076795,0.009235020360674806,0.00737315873132971,0.005672142005727965,0.012562947209014418,0.02314434129901622,0.011134507236066637,0.040962328557120294
2013-08-31,-0.0312980133236046,-0.007543894786033789,-0.02044581923747757,-0.01368974709993509,0.05245413404259902,-0.010613053377306558,-0.00524519984269294,-0.006510516609886603,-0.01955662727663724,-0.008423822333928885
2013-09-30,0.029749474883188354,0.044194806942015274,0.07968863667257686,0.04977232327659675,0.03635324740681156,0.018945659937994686,0.02055773995596177,0.017788479634226365,0.02260749443553518,0.02827834765733291
2013-10-31,0.04459575986441089,0.0383624299426657,-0.008844892707425278,0.04778362830832039,-0.015198202941602457,0.03378938006109711,0.009826579451880414,0.024911317752507045,0.021392335303744386,0.04500635519778147
2013-11-30,0.02804946087194149,0.008654651487421283,0.0930999152704437,0.0013282858471144188,0.03683670353294288,-0.0051159400051596915,-0.00818588174881792,0.00361537018969429,-0.012464428378517625,0.03635995061091355
2013-12-31,0.023562833299184183,0.009533767991142694,0.0401893260511037,-0.012999933673807806,-0.04707309691853734,0.024346870342328852,-0.005970906967693495,0.009352381853446229,0.003050844210395755,0.0411124546553809
2014-01-31,-0.035582895107013734,-0.017486139036129944,-0.0845100854381875,-0.04905584302130239,-0.039175738122041004,-0.01729545689431944,0.010573268615972388,-0.002108011079501562,-0.0027849752632660824,-0.02587620414019262
2014-02-28,0.043117037568930705,0.048059035098598546,-0.0049253982525765405,0.03147009634183684,0.011420586370551655,0.02091681368662246,0.014011383786030014,0.025997709344504835,0.023066635266849083,0.04341346238142828
